id,name,specialty,phone,email,link,location,notes
1,GreenLeaf Home Services,Heat Pump & HVAC Contractors & Water Heater / Heat Pump Water Heater Installers,416-555-1023,contact@greenleaf.ca,https://greenleaf.ca,"Toronto, ON",
2,EcoPro Installations,Insulation & Air-Sealing Contractors & Windows & Doors Installers,613-555-8891,info@ecopro.ca,https://ecopro.ca,"Ottawa, ON",
3,NorthStar Retrofits,Licensed Electrical Contractors & Solar (PV) Installers,905-555-3311,service@northstar.ca,https://northstarretrofits.ca,"Hamilton, ON",
4,BlueSky Energy Works,Registered Energy Auditors & General Home Retrofit Contractors,519-555-7442,support@bluesky.ca,https://blueskyenergyworks.ca,"London, ON",
5,TrueNorth Eco Contractors,Heat Pump & HVAC Contractors & Water Heater / Heat Pump Water Heater Installers,416-555-6734,hello@truenorth.ca,https://truenortheco.ca,"Mississauga, ON",
6,EverWarm Solutions,Insulation & Air-Sealing Contractors & Windows & Doors Installers,905-555-1128,team@everwarm.ca,https://everwarm.ca,"Brampton, ON",
7,BrightPath Renewables,Licensed Electrical Contractors & Solar (PV) Installers,519-555-2290,info@brightpath.ca,https://brightpathrenewables.ca,"Kitchener, ON",
8,Ontario EcoBuilders,Registered Energy Auditors & General Home Retrofit Contractors,226-555-9001,contact@ontarioecobuilders.ca,https://ontarioecobuilders.ca,"Windsor, ON",
9,CleanComfort Heating,Heat Pump & HVAC Contractors & Water Heater / Heat Pump Water Heater Installers,289-555-4467,service@cleancomfort.ca,https://cleancomfort.ca,"Markham, ON",
10,EcoShield Installers,Insulation & Air-Sealing Contractors & Windows & Doors Installers,416-555-7782,office@ecoshield.ca,https://ecoshieldinstallers.ca,"Vaughan, ON",
11,SunPeak Energy,Licensed Electrical Contractors & Solar (PV) Installers,519-555-3033,info@sunpeak.ca,https://sunpeakenergy.ca,"Guelph, ON",
12,MapleLeaf Retrofits,Registered Energy Auditors & General Home Retrofit Contractors,613-555-5500,hello@mapleleleafretrofits.ca,https://mapleleafretrofits.ca,"Kingston, ON",
